,City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
0,Pangnirtung,66.1451,-65.7125,31.71,88,100,6.42,CA,1619231340
1,Aklavik,68.2191,-135.0107,37.4,51,94,5.75,CA,1619231219
2,Kapaa,22.0752,-159.319,78.8,65,40,16.11,US,1619231388
3,Castro,-24.7911,-50.0119,53.46,78,9,3.98,BR,1619231222
4,Adwa,14.1646,38.8955,67.95,44,100,4.45,ET,1619231601
5,Bluff,-46.6,168.3333,50.0,91,64,14.88,NZ,1619231601
6,Hermanus,-34.4187,19.2345,55.0,91,95,6.08,ZA,1619230834
7,Westport,41.1415,-73.3579,51.01,43,2,7.0,US,1619231309
8,Bontang,0.1333,117.5,82.58,77,92,7.61,ID,1619231311
9,Vao,-22.6667,167.4833,75.92,74,57,11.14,NC,1619231218
10,Nabire,-3.3667,135.4833,83.93,76,10,4.47,ID,1619231602
11,Jiblah,13.9216,44.1467,60.98,40,4,4.29,YE,1619231602
12,Meulaboh,4.1363,96.1285,81.05,77,100,3.71,ID,1619231603
13,Hobart,-42.8794,147.3294,60.8,48,75,16.11,AU,1619231569
14,Marsá Maţrūḩ,31.3525,27.2453,55.4,88,40,8.34,EG,1619231508
15,Firozabad,27.15,78.4167,83.53,31,0,10.69,IN,1619231604
16,Dingle,10.9995,122.6711,91.92,49,91,7.83,PH,1619231604
17,Atuona,-9.8,-139.0333,80.38,78,23,23.85,PF,1619231229
18,Carnarvon,-24.8667,113.6333,82.4,32,2,5.75,AU,1619231604
19,New Norfolk,-42.7826,147.0587,60.01,76,96,5.01,AU,1619231605
20,Rikitea,-23.1203,-134.9692,79.02,74,100,14.81,PF,1619231421
21,Ribeira Grande,38.5167,-28.7,58.37,78,99,28.45,PT,1619231605
22,Puerto Ayora,-0.7393,-90.3518,77.0,95,13,5.01,EC,1619231554
23,Port Hardy,50.6996,-127.4199,50.0,93,90,3.06,CA,1619231409
24,Hilo,19.7297,-155.09,77.0,61,90,11.5,US,1619231606
25,Ushuaia,-54.8,-68.3,42.8,93,75,14.97,AR,1619231341
26,East London,-33.0153,27.9116,61.86,75,2,7.29,ZA,1619231606
27,Kruisfontein,-34.0033,24.7314,59.0,93,93,1.99,ZA,1619231607
28,Grand Gaube,-20.0064,57.6608,75.99,85,98,3.0,MU,1619231216
29,Dikson,73.5069,80.5464,31.86,98,100,15.35,RU,1619231211
30,Varna,43.2167,27.9167,46.0,93,0,4.61,BG,1619231607
31,Tuktoyaktuk,69.4541,-133.0374,19.4,73,75,10.36,CA,1619231540
32,Jamestown,42.097,-79.2353,45.0,49,75,12.66,US,1619231108
33,Saldanha,-33.0117,17.9442,55.4,82,70,6.91,ZA,1619231226
34,Bredasdorp,-34.5322,20.0403,44.6,100,94,1.45,ZA,1619231136
35,Narsaq,60.9167,-46.05,39.2,65,0,2.3,GL,1619231185
36,Pisco,-13.7,-76.2167,66.99,82,0,3.44,PE,1619231038
37,Port Alfred,-33.5906,26.891,64.92,73,0,15.73,ZA,1619231281
38,Haines Junction,60.7522,-137.5108,51.8,20,15,3.44,CA,1619231192
39,Chokurdakh,70.6333,147.9167,9.88,85,18,1.41,RU,1619231236
40,Gbadolite,4.2833,21.0167,68.2,97,100,3.0,CD,1619231402
41,Khatanga,71.9667,102.5,33.26,96,100,19.64,RU,1619231053
42,Kawalu,-7.3817,108.2082,83.75,60,5,3.6,ID,1619231609
43,Barrow,71.2906,-156.7887,28.4,74,1,3.44,US,1619231241
44,Hasaki,35.7333,140.8333,68.0,48,75,4.61,JP,1619231211
45,Beloha,-25.1667,45.05,67.82,78,0,10.4,MG,1619231610
46,Hingorja,27.2109,68.416,73.4,46,0,5.82,PK,1619231610
47,Hirara,24.8,125.2833,77.0,69,75,17.27,JP,1619231432
48,Albany,42.6001,-73.9662,45.0,49,3,6.13,US,1619231437
49,Neyshabur,36.2133,58.7958,66.92,16,98,3.49,IR,1619231610
50,Sambava,-14.2667,50.1667,72.54,86,100,8.28,MG,1619231214
51,Mar del Plata,-38.0023,-57.5575,64.0,88,90,4.61,AR,1619231454
52,Geraldton,-28.7667,114.6,78.8,36,2,4.61,AU,1619231476
53,Tomatlán,19.9333,-105.25,71.42,70,77,1.21,MX,1619231611
54,Husavik,66.0449,-17.3389,35.6,93,0,3.44,IS,1619231275
55,Ponta do Sol,32.6667,-17.1,60.01,80,21,5.99,PT,1619231275
56,Bani Walid,31.7566,13.9942,58.82,77,100,20.29,LY,1619231612
57,Mahébourg,-20.4081,57.7,77.0,88,75,8.05,MU,1619231612
58,Fuyu,45.1833,124.8167,54.95,15,99,17.31,CN,1619231592
59,Iracoubo,5.4802,-53.2011,77.47,89,100,13.0,GF,1619231612
60,Nemuro,43.3236,145.575,68.0,32,0,16.11,JP,1619231519
61,Mataura,-46.1927,168.8643,50.0,90,99,1.01,NZ,1619230915
62,Port Lincoln,-34.7333,135.8667,64.15,59,68,8.3,AU,1619231613
63,Antofagasta,-23.65,-70.4,60.8,82,40,6.91,CL,1619231512
64,Airai,-8.9266,125.4092,74.17,48,5,3.13,TL,1619231255
65,Vaini,-21.2,-175.2,84.2,79,20,6.91,TO,1619231420
66,Mount Gambier,-37.8333,140.7667,57.2,94,75,10.36,AU,1619231229
67,Leningradskiy,69.3833,178.4167,29.35,85,96,5.66,RU,1619231321
68,Liwale,-9.7667,37.9333,69.67,88,89,7.72,TZ,1619231614
69,Hithadhoo,-0.6,73.0833,82.45,70,17,5.1,MV,1619231165
70,Avarua,-21.2078,-159.775,80.6,78,40,17.27,CK,1619231472
71,Yellowknife,62.456,-114.3525,15.8,57,75,11.5,CA,1619231214
72,Mrągowo,53.8644,21.3051,24.8,93,0,2.3,PL,1619231615
73,Punta Arenas,-53.15,-70.9167,41.0,100,40,3.44,CL,1619231551
74,Bethel,41.3712,-73.414,51.01,53,1,5.75,US,1619231615
75,Ahipara,-35.1667,173.1667,65.89,65,45,9.4,NZ,1619231616
76,Broken Hill,-31.95,141.4333,66.2,42,56,6.91,AU,1619231616
77,Bairiki Village,1.3292,172.9752,87.8,70,20,8.05,KI,1619231616
78,Tuatapere,-46.1333,167.6833,50.0,91,56,2.82,NZ,1619231617
79,Laguna,38.421,-121.4238,64.4,55,1,17.27,US,1619231198
80,Dauphin,51.1494,-100.0502,32.0,47,1,9.22,CA,1619231617
81,Thinadhoo,0.5333,72.9333,82.58,66,1,5.32,MV,1619231437
82,Ţahţā,26.7693,31.5021,68.0,30,0,5.75,EG,1619231618
83,Gibara,21.1097,-76.1317,77.0,83,0,10.36,CU,1619231618
84,Faanui,-16.4833,-151.75,80.13,75,100,10.13,PF,1619231618
85,Barkot,30.8167,78.2,63.66,39,0,1.61,IN,1619231619
86,Flinders,-34.5833,150.8552,72.0,51,100,4.0,AU,1619231619
87,Thompson,55.7435,-97.8558,21.2,42,20,8.05,CA,1619231351
88,Faya,18.3851,42.4509,62.6,51,0,1.92,SA,1619231479
89,Stamford,41.0534,-73.5387,57.0,26,1,4.61,US,1619231449
90,Namie,37.4833,141.0,62.01,57,100,1.01,JP,1619231620
91,Kahului,20.8947,-156.47,80.6,57,20,20.71,US,1619231238
92,Henties Bay,-22.116,14.2845,60.01,93,49,1.99,NA,1619231523
93,Épinal,48.1833,6.45,41.0,56,0,5.75,FR,1619231620
94,Elk City,35.412,-99.4043,55.4,100,90,9.22,US,1619231621
95,Byron Bay,-28.65,153.6167,73.0,56,75,8.05,AU,1619231406
96,Taltal,-25.4,-70.4833,61.56,83,5,1.25,CL,1619231410
97,Naze,28.3667,129.4833,69.8,68,75,28.77,JP,1619231621
98,Hamilton,39.1834,-84.5333,53.6,62,90,3.44,US,1619231378
99,Poum,-20.2333,164.0167,79.72,77,99,6.91,NC,1619231622
100,Port Elizabeth,-33.918,25.5701,53.6,94,75,6.91,ZA,1619230819
101,Cape Town,-33.9258,18.4232,59.0,82,0,9.22,ZA,1619231042
102,Paamiut,61.994,-49.6678,32.11,77,2,4.52,GL,1619231113
103,Houma,29.5958,-90.7195,73.0,88,90,16.11,US,1619231548
104,Dongsheng,39.8161,109.9776,59.76,36,100,11.83,CN,1619231609
105,Makassar,-5.14,119.4221,86.0,74,20,3.44,ID,1619231623
106,Fortuna,40.5982,-124.1573,53.01,93,1,1.99,US,1619230969
107,Emerald,-23.5333,148.1667,79.0,25,8,9.22,AU,1619231624
108,Alofi,-19.0595,-169.9187,82.4,83,26,10.36,NU,1619231624
109,Lebu,-37.6167,-73.65,52.45,91,79,7.38,CL,1619231142
110,Sant Julià de Loria,42.4625,1.4825,42.01,78,79,2.06,AD,1619231624
111,Nouadhibou,20.931,-17.0347,64.4,88,0,16.11,MR,1619231424
112,Te Anau,-45.4167,167.7167,52.27,64,80,4.14,NZ,1619231625
113,Tessalit,20.1986,1.0114,83.7,8,0,6.87,ML,1619231626
114,Wajima,37.4,136.9,62.6,55,75,8.05,JP,1619231196
115,Qaanaaq,77.484,-69.3632,17.2,79,100,5.44,GL,1619231530
116,Bhatkal,13.9667,74.5667,84.16,65,5,1.12,IN,1619231626
117,Denpasar,-8.65,115.2167,84.2,74,20,8.05,ID,1619231333
118,Saint Paul Harbor,57.79,-152.4072,41.0,81,90,9.22,US,1619230900
119,Morant Bay,17.8815,-76.4093,78.8,83,20,3.44,JM,1619231627
120,Tasiilaq,65.6145,-37.6368,37.4,60,75,20.71,GL,1619231557
121,Jimma,7.6667,36.8333,60.53,97,100,1.21,ET,1619231627
122,Puerto Colombia,10.9878,-74.9547,80.6,78,0,16.11,CO,1619231628
123,Nishihara,26.1842,127.7558,68.0,94,90,17.27,JP,1619231473
124,Butaritari,3.0707,172.7902,81.21,77,100,6.69,KI,1619231628
125,Kjøllefjord,70.9457,27.3465,31.87,69,100,16.24,NO,1619231476
126,Santa Rosa,14.3122,121.1114,86.0,66,20,5.75,PH,1619231629
127,Yarmouth,41.7057,-70.2286,46.99,71,1,5.75,US,1619231003
128,Saint-Philippe,-21.3585,55.7679,75.2,73,0,4.61,RE,1619230936
129,Mahon,39.8885,4.2658,53.6,87,0,5.75,ES,1619231441
130,Florø,61.5996,5.0328,35.6,69,90,5.75,NO,1619231629
131,Brookings,44.3114,-96.7984,37.99,81,90,12.66,US,1619231497
132,Sur,22.5667,59.5289,87.13,31,0,5.37,OM,1619231630
133,El Copey,10.1503,-73.9614,82.0,81,73,1.23,CO,1619231630
134,Makushino,55.2103,67.2442,40.87,51,100,12.1,RU,1619231630
135,Howard Springs,-12.497,131.047,89.01,23,0,18.41,AU,1619231631
136,Upernavik,72.7868,-56.1549,28.0,88,100,4.54,GL,1619231463
137,Murgab,37.4966,61.9714,62.6,39,75,5.84,TM,1619231631
138,Katsuura,35.1333,140.3,68.0,55,75,4.61,JP,1619231632
139,La Rioja,42.25,-2.5,53.01,62,0,8.05,ES,1619231391
140,Phuket,8.0,98.25,86.0,94,75,3.44,TH,1619231632
141,Ilulissat,69.2167,-51.1,28.4,74,100,4.61,GL,1619231507
142,Lincoln,40.8,-96.667,55.0,54,1,12.66,US,1619231345
143,Saint George,37.1041,-113.5841,77.0,10,1,11.5,US,1619230774
144,Sakakah,29.9697,40.2064,73.4,14,0,5.75,SA,1619231436
145,Batemans Bay,-35.7167,150.1833,66.99,47,38,5.1,AU,1619231237
146,Syedove,47.0768,38.156,50.0,100,38,11.99,UA,1619231633
147,Porto Walter,-8.2686,-72.7439,72.52,97,64,2.1,BR,1619231633
148,Isugod,9.3408,118.1196,83.75,73,88,6.31,PH,1619231634
149,Casablanca,33.5928,-7.6192,66.0,100,40,2.3,MA,1619231590
150,Kulhudhuffushi,6.6221,73.07,83.82,73,50,7.52,MV,1619231634
151,Makakilo City,21.3469,-158.0858,82.4,51,75,11.5,US,1619231234
152,Erenhot,43.6475,111.9767,58.15,33,3,21.25,CN,1619231571
153,Ordzhonīkīdze,52.4411,61.7408,46.08,53,100,14.99,KZ,1619231635
154,Norrtälje,59.758,18.705,37.0,69,69,8.01,SE,1619231636
155,Kiryat Gat,31.61,34.7642,66.0,100,52,1.57,IL,1619231246
156,George Town,5.4112,100.3354,82.0,94,40,4.61,MY,1619231232
157,Muros,42.7762,-9.0603,59.0,94,80,7.9,ES,1619231271
158,Chase,50.8165,-119.6857,57.2,35,100,2.3,CA,1619231109
159,Busselton,-33.65,115.3333,72.0,58,24,1.01,AU,1619231636
160,Longyearbyen,78.2186,15.6401,17.6,67,90,3.44,SJ,1619231637
161,Kumul,42.8,93.45,48.65,23,100,11.61,CN,1619231196
162,Karla,59.3723,24.9275,35.01,88,99,7.0,EE,1619231637
163,Podosinovets,60.2776,47.0659,44.06,82,55,8.16,RU,1619231638
164,Anadyr,64.75,177.4833,24.8,80,0,6.71,RU,1619231638
165,Nome,64.5011,-165.4064,42.8,61,1,2.44,US,1619231638
166,Kananga,-5.8958,22.4178,68.14,99,100,2.37,CD,1619231639
167,Takoradze,4.8845,-1.7554,81.0,83,98,7.09,GH,1619231540
168,Egvekinot,66.3167,-179.1667,31.64,87,100,2.98,RU,1619231639
169,Pevek,69.7008,170.3133,18.66,85,63,2.01,RU,1619231230
170,Arraial do Cabo,-22.9661,-42.0278,73.72,77,61,11.74,BR,1619231196
171,Iqaluit,63.7506,-68.5145,28.4,93,90,3.44,CA,1619231640
172,Matagami,49.7502,-77.6328,48.2,46,1,5.75,CA,1619231640
173,São Félix do Xingu,-6.6447,-51.995,71.53,98,35,1.03,BR,1619231640
174,Ambon City,-3.6954,128.1814,89.6,55,40,3.44,ID,1619231641
175,Ihosy,-22.4,46.1167,64.24,87,98,8.3,MG,1619231641
176,Yumen,40.2833,97.2,47.59,48,67,1.79,CN,1619231579
177,Dunedin,-45.8742,170.5036,51.48,82,100,3.15,NZ,1619231518
178,Āgaro,7.85,36.65,60.82,96,98,0.89,ET,1619231642
179,Ust'-Karsk,52.7011,118.8077,51.53,20,0,7.23,RU,1619231642
180,Khorixas,-20.3667,14.9667,69.13,43,13,7.25,NA,1619231251
181,Honiara,-9.4333,159.95,85.42,69,90,4.61,SB,1619231346
182,Saskylakh,71.9167,114.0833,33.57,97,100,20.42,RU,1619231182
183,Champerico,14.3,-91.9167,66.99,95,50,4.34,GT,1619231643
184,Beringovskiy,63.05,179.3167,29.84,91,99,5.82,RU,1619231643
185,Lewistown,40.5992,-77.5714,50.0,43,1,8.05,US,1619231643
186,Guhāgar,17.4842,73.1929,84.16,49,52,4.65,IN,1619231644
187,Padang,-0.9492,100.3543,84.2,70,20,1.14,ID,1619231644
188,La Providencia,28.7167,-111.5833,70.0,46,0,1.01,MX,1619231644
189,São Filipe,14.8961,-24.4956,70.54,76,16,8.16,CV,1619231645
190,Severo-Kuril'sk,50.6789,156.125,38.07,86,98,6.64,RU,1619231105
191,Bengkulu,-3.8004,102.2655,80.22,73,100,2.15,ID,1619231377
192,Lompoc,34.6391,-120.4579,53.6,76,4,8.05,US,1619231427
193,Koumac,-20.5667,164.2833,80.58,76,91,7.16,NC,1619231646
194,Aksay,47.26,39.87,51.01,93,20,6.71,RU,1619231646
195,Alyangula,-13.8483,136.4192,87.8,48,100,8.05,AU,1619231646
196,Kaili,-3.4626,120.2147,77.94,69,32,4.03,ID,1619231647
197,Souillac,-20.5167,57.5167,77.0,88,75,8.05,MU,1619231182
198,Erzincan Province,39.75,39.5,42.8,61,0,3.04,TR,1619231647
199,Serebryanyy Bor,56.8,124.8,31.06,91,100,17.47,RU,1619231647
200,Yar-Sale,66.8333,70.8333,32.32,99,98,8.57,RU,1619231522
201,Lianran,24.9227,102.485,77.0,34,0,11.18,CN,1619231648
202,Colares,38.7992,-9.4469,62.01,92,7,14.61,PT,1619231648
203,Coos Bay,43.3665,-124.2179,51.8,71,90,8.05,US,1619231648
204,Sanchazi,42.0817,126.6003,63.93,40,84,10.22,CN,1619231649
205,Shanghai,31.2222,121.4581,69.01,100,90,8.95,CN,1619231463
206,Barguzin,53.6167,109.6167,41.11,43,100,7.11,RU,1619231649
207,Great Yarmouth,52.6083,1.7305,44.01,86,100,1.14,GB,1619231650
208,Hay River,60.8156,-115.7999,19.4,63,94,3.44,CA,1619231442
209,Nikolskoye,59.7035,30.7861,35.01,93,75,2.24,RU,1619231199
210,Desaguadero,-16.5656,-69.0417,43.59,78,39,2.89,PE,1619231650
211,Dwārka,22.2394,68.9678,82.36,72,100,12.19,IN,1619231651
212,Acaraú,-2.8856,-40.12,77.9,86,66,9.46,BR,1619231275
213,Kavieng,-2.5744,150.7967,81.01,75,96,3.4,PG,1619231651
214,Kalulushi,-12.8378,28.0919,57.38,91,19,3.29,ZM,1619231651
215,Ciudad Bolivar,8.1222,-63.5497,83.03,59,26,15.05,VE,1619231652
216,Buala,-8.145,159.5921,84.79,69,56,5.28,SB,1619231652
217,Ancud,-41.8697,-73.8203,48.99,100,0,3.2,CL,1619231652
218,Hong Kong,22.2855,114.1577,82.4,65,20,18.41,HK,1619230949
219,Abengourou,6.7297,-3.4964,71.89,97,99,1.74,CI,1619231556
220,Bathsheba,13.2167,-59.5167,78.8,65,20,17.27,BB,1619231653
221,Yangi Marg`ilon,40.4272,71.7189,57.2,41,100,4.61,UZ,1619231430
222,Cabo San Lucas,22.8909,-109.9124,73.99,56,20,3.44,MX,1619231653
223,Nioro,13.35,-15.75,75.67,45,62,5.91,GM,1619231654
224,Lysyanka,49.2523,30.8295,34.36,83,0,8.72,UA,1619231654
225,Ganzhou,28.8184,115.4327,63.52,96,100,6.13,CN,1619231654
226,Kaitangata,-46.2817,169.8464,57.0,67,100,3.0,NZ,1619231655
227,Dilla,6.41,38.31,60.96,92,98,3.51,ET,1619231655
228,Gurupi,-11.7292,-49.0686,74.59,76,25,0.96,BR,1619231655
229,Mareeba,-17.0,145.4333,80.01,79,99,5.99,AU,1619231656
230,Isla Mujeres,21.2311,-86.731,81.0,74,20,11.5,MX,1619231464
231,Weiser,44.251,-116.9693,66.2,22,1,6.91,US,1619231656
232,Palmer,42.1584,-72.3287,51.8,35,1,3.44,US,1619231657
233,Cockburn Town,21.4612,-71.1419,78.17,79,3,17.83,TC,1619231398
234,Ajdabiya,30.7554,20.2263,72.41,19,11,14.45,LY,1619231657
235,Lüderitz,-26.6481,15.1594,63.52,74,4,7.56,NA,1619231228
236,Abhā,18.2164,42.5053,62.6,51,0,1.83,SA,1619231227
237,Utena,55.5,25.6,31.01,90,100,9.44,LT,1619231658
238,Eureka,40.8021,-124.1637,52.0,77,100,5.01,US,1619231658
239,Bajil,15.0584,43.2851,79.79,72,5,1.41,YE,1619231658
240,Vila Velha,-20.3297,-40.2925,75.2,78,75,4.61,BR,1619231220
241,Gīdam,18.9833,81.4,90.16,24,0,1.77,IN,1619231659
242,Lorengau,-2.0226,147.2712,81.61,79,93,7.74,PG,1619231659
243,Moroeni,45.2167,25.4333,42.01,86,58,5.88,RO,1619231660
244,Berdigestyakh,62.0989,126.6992,26.82,72,100,10.83,RU,1619231424
245,Turukhansk,65.8167,87.9833,31.48,99,26,14.83,RU,1619231660
246,Colomi,-17.35,-65.8667,62.6,48,40,4.61,BO,1619231660
247,Saint Anthony,45.0205,-93.218,46.99,81,90,3.44,US,1619231106
248,Sinnamary,5.3833,-52.95,77.54,89,100,12.62,GF,1619231440
249,Cherskiy,68.75,161.3,26.83,88,100,4.9,RU,1619231240
250,Salamanca,40.8333,-6.0,57.99,76,0,9.22,ES,1619231661
251,Noumea,-22.2763,166.4572,84.2,70,91,9.22,NC,1619231271
252,Ntoum,0.3833,9.7833,74.44,93,100,1.1,GA,1619231662
253,Rundu,-17.9333,19.7667,55.62,49,0,4.68,NA,1619231662
254,Markova,48.6758,24.4138,30.47,87,17,5.46,UA,1619231662
255,Luanda,-8.8368,13.2343,77.0,88,40,6.91,AO,1619231524
256,Kudahuvadhoo,2.6708,72.8944,83.35,64,28,9.13,MV,1619231634
257,Rome,43.2128,-75.4557,45.0,57,1,5.86,US,1619231574
258,Steamboat Springs,40.485,-106.8317,48.2,39,75,4.5,US,1619231584
259,Port Macquarie,-31.4333,152.9167,73.0,42,35,1.01,AU,1619231576
260,Forsytheganj,52.6333,29.7333,31.78,87,64,11.39,BY,1619231663
261,Dekar,-21.5333,21.9333,57.97,38,0,5.14,BW,1619231664
262,Lerwick,60.1545,-1.1494,44.6,87,90,3.44,GB,1619231664
263,Vestmanna,62.1564,-7.1664,42.8,100,90,5.75,FO,1619231664
264,Roald,62.5833,6.1333,33.8,86,90,3.44,NO,1619231612
265,Kimbe,-5.5502,150.1429,82.31,77,90,2.8,PG,1619231665
266,Amahai,-3.3333,128.9167,84.92,67,35,4.18,ID,1619231203
267,Otaru,43.1894,141.0022,61.0,47,75,5.75,JP,1619231665
