,City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
268,Martapura,-3.4167,114.85,86.0,54,3,3.44,ID,1619231492
269,Salinas,36.6777,-121.6555,57.2,67,90,12.66,US,1619231589
270,Altamont,42.2068,-121.7372,60.8,18,20,12.66,US,1619231666
271,Mackay,-21.15,149.2,73.4,83,75,14.97,AU,1619231514
272,Codrington,-38.2667,141.9667,60.66,70,90,13.33,AU,1619231191
273,Ruska Poliana,49.417,31.9201,34.86,86,0,9.37,UA,1619231667
274,Iquitos,-3.7481,-73.2472,77.0,94,40,2.3,PE,1619231667
275,Quatre Cocos,-20.2078,57.7625,77.0,88,75,8.05,MU,1619231667
276,Porto-Novo,6.4965,2.6036,82.4,89,40,17.27,BJ,1619231516
277,Rāmgarh,23.6333,85.5167,78.8,38,91,4.61,IN,1619231668
278,São João da Barra,-21.6403,-41.0511,69.24,87,0,7.76,BR,1619231182
279,Majene,-3.5403,118.9707,84.47,69,24,5.66,ID,1619231244
280,Wadena,46.4425,-95.1361,39.2,81,90,6.91,US,1619231668
281,North Bend,43.4065,-124.2243,51.8,71,90,8.05,US,1619231669
282,Ixtapa,20.7,-105.2,78.8,69,20,8.05,MX,1619231494
283,Bac Lieu,9.285,105.7244,87.49,58,77,8.3,VN,1619231669
284,Lexington,37.9887,-84.4777,53.01,62,90,5.75,US,1619231389
285,Sucúa,-2.4667,-78.1667,69.01,97,100,2.37,EC,1619231670
286,Rio Grande,-32.035,-52.0986,62.01,95,3,12.62,BR,1619231586
287,Chabahar,25.2919,60.643,81.9,74,5,0.85,IR,1619231670
288,Esperance,-33.8667,121.9,69.8,56,100,12.66,AU,1619231670
289,Barcelos,41.5388,-8.6151,59.0,94,75,9.22,PT,1619231559
290,Lishui,28.4604,119.9103,79.68,58,73,1.12,CN,1619231671
291,Tiksi,71.6872,128.8694,18.27,82,100,16.87,RU,1619231671
292,Bambous Virieux,-20.3428,57.7575,77.0,88,75,8.05,MU,1619231672
293,Marystown,47.1666,-55.1483,37.09,83,87,19.66,CA,1619231672
294,Mandlā,22.6,80.3833,90.72,16,80,6.64,IN,1619231672
295,La Ronge,55.1001,-105.2842,28.4,37,65,6.91,CA,1619231672
296,Itoman,26.1247,127.6694,68.0,88,75,12.66,JP,1619231673
297,Dorogobuzh,54.915,33.2972,32.4,88,16,4.25,RU,1619231673
298,Santa Maria,-29.6842,-53.8069,62.6,88,0,5.75,BR,1619231106
299,Puerto Ayacucho,5.6639,-67.6236,81.64,71,55,5.12,VE,1619231673
300,Vila Franca do Campo,37.7167,-25.4333,57.2,62,40,16.11,PT,1619231674
301,Bud,39.447,-86.1758,53.6,50,90,5.75,US,1619231435
302,Celestún,20.8667,-90.4,85.37,49,97,18.19,MX,1619231674
303,Shunyi,40.125,116.6453,71.01,49,0,4.47,CN,1619231675
304,Constitución,-35.3333,-72.4167,54.99,75,0,8.19,CL,1619231675
305,Fairlie,55.756,-4.8556,45.0,84,100,4.0,GB,1619231675
306,Nyurba,63.2842,118.3319,36.19,92,96,7.29,RU,1619231676
307,Tamboril,19.4854,-70.611,77.0,83,75,9.22,DO,1619231676
308,Ostrovnoy,68.0531,39.5131,32.16,93,100,25.66,RU,1619231675
309,Totness,5.8833,-56.3167,77.11,89,99,9.95,SR,1619231676
310,Chumikan,54.7183,135.315,38.08,53,98,7.45,RU,1619231527
311,Cap-aux-Meules,47.3821,-61.8597,37.4,75,100,19.57,CA,1619231677
312,Arona,28.0996,-16.681,66.2,82,20,2.3,ES,1619231677
313,Rocha,-34.4833,-54.3333,62.11,96,69,8.12,UY,1619231003
314,Oussouye,12.485,-16.5469,73.4,83,0,4.61,SN,1619231600
315,Heihe,50.2441,127.4902,48.2,21,20,17.9,CN,1619231526
316,Cairns,-16.9167,145.7667,80.01,78,90,14.97,AU,1619231467
317,Kutum,14.2,24.6667,76.21,17,45,9.69,SD,1619231678
318,Kasama,-10.2129,31.1808,56.61,98,23,3.15,ZM,1619231678
319,Gazli,40.1333,63.45,67.62,26,100,6.67,UZ,1619231679
320,Saint-François,46.4154,3.9054,43.0,81,0,3.44,FR,1619231111
321,Camacha,33.0833,-16.3333,60.8,82,40,11.5,PT,1619231642
322,Isangel,-19.55,169.2667,86.0,70,75,5.75,VU,1619231679
323,Pampa,35.5362,-100.9599,53.6,71,1,5.75,US,1619231680
324,Malabugas,9.3681,122.7678,82.4,83,75,4.61,PH,1619231680
325,Hailar,49.2,119.7,47.48,16,88,9.42,CN,1619231680
326,Gijang,35.2442,129.2139,69.8,46,0,9.22,KR,1619231681
327,Témiscaming,46.7212,-79.0971,51.8,43,59,4.61,CA,1619231681
328,Khor,47.8861,134.9464,51.26,38,100,12.08,RU,1619231681
329,San Policarpo,12.1791,125.5072,84.58,72,100,4.76,PH,1619231682
330,Umluj,25.0213,37.2685,77.23,73,2,3.51,SA,1619231550
331,Biak,-0.9131,122.8766,80.58,76,93,3.89,ID,1619231682
332,Lander,42.833,-108.7307,44.6,57,90,9.22,US,1619231682
333,Carnot,4.9409,15.8665,67.21,96,100,3.22,CF,1619231683
334,Alta Floresta,-9.8756,-56.0861,71.17,94,57,1.41,BR,1619231280
335,Tupik,54.4253,119.9327,44.89,36,2,10.8,RU,1619231683
336,Deputatsky,69.3,139.9,13.77,77,8,3.29,RU,1619231684
337,Evensk,61.95,159.2333,31.03,94,100,10.87,RU,1619231107
338,Bacolod City,10.6667,122.95,87.31,62,97,14.56,PH,1619231684
339,Kailua,21.4022,-157.7394,80.6,65,75,12.66,US,1619231208
340,San Jose de Guanipa,8.8872,-64.1651,80.01,64,36,16.37,VE,1619231685
341,Ürümqi,43.801,87.6005,35.6,55,75,8.95,CN,1619231535
342,Gōtsuchō,35.0,132.2167,62.6,77,75,6.91,JP,1619231685
343,Mocuba,-16.8392,36.9856,64.49,97,2,0.27,MZ,1619231686
344,Ekhabi,53.5102,142.9671,34.03,65,5,9.4,RU,1619231686
345,Bonga,7.2833,36.2333,58.69,98,97,1.83,ET,1619231686
346,Sanbu,33.4594,119.1453,63.86,72,100,10.33,CN,1619231687
347,Torbay,47.6666,-52.7314,39.99,100,90,16.11,CA,1619231187
348,Shakawe,-18.3667,21.85,57.36,45,15,5.01,BW,1619231687
349,Lar,26.2039,83.9717,95.02,13,3,5.77,IN,1619231687
350,Tynda,55.1667,124.7167,36.5,72,97,16.58,RU,1619231688
351,Novovasylivka,46.8315,35.7536,45.46,83,97,13.24,UA,1619231688
352,Jieshi,22.8134,115.8257,76.8,70,32,15.75,CN,1619231688
353,Sisimiut,66.9395,-53.6735,31.98,66,100,6.31,GL,1619231689
354,Aswān,24.0934,32.907,78.91,11,0,11.36,EG,1619231245
355,Plettenberg Bay,-34.0527,23.3716,60.01,87,81,4.47,ZA,1619231257
356,Novosil',52.9739,37.0405,38.71,90,100,10.54,RU,1619231689
357,Garissa,-0.4536,39.6401,77.36,82,42,7.36,KE,1619231690
358,Puerto Nariño,-3.7703,-70.3831,75.2,100,0,2.3,CO,1619231690
359,Acapulco de Juárez,16.8634,-99.8901,80.6,78,40,4.61,MX,1619231550
360,Laas,46.6166,10.7002,44.01,69,0,3.44,IT,1619231192
361,Nam Som,17.7704,102.1895,91.0,70,40,4.61,TH,1619231691
362,Loralai,30.3705,68.598,65.68,44,0,5.06,PK,1619231504
363,San Quintín,30.4833,-115.95,57.99,80,16,15.05,MX,1619231479
364,Zhangye,38.9342,100.4517,44.92,64,66,1.7,CN,1619231189
365,Port-Gentil,-0.7193,8.7815,81.01,78,100,5.84,GA,1619231268
366,Clyde River,70.4692,-68.5914,10.4,100,90,2.3,CA,1619231692
367,Portland,45.5234,-122.6762,60.01,55,100,2.33,US,1619231181
368,Taoudenni,22.6783,-3.9836,85.03,8,0,8.39,ML,1619231542
369,Chicama,-7.8447,-79.1469,68.41,82,11,5.03,PE,1619231509
370,Sola,-13.8833,167.55,83.53,70,98,13.22,VU,1619231692
371,Praxédis Guerrero,31.3667,-106.0167,71.6,13,20,17.27,MX,1619231693
372,Lagoa,39.05,-27.9833,57.31,76,27,32.73,PT,1619230924
373,Irecê,-11.3042,-41.8558,70.29,86,26,6.33,BR,1619231693
374,Caucayá,-0.1934,-74.7819,72.68,98,21,1.43,CO,1619231694
375,Karaton,-6.3424,106.1045,87.8,62,0,5.75,ID,1619231694
376,Nantucket,41.2835,-70.0995,46.4,76,1,16.11,US,1619231694
377,Srednekolymsk,67.45,153.6833,16.03,91,100,19.26,RU,1619231627
378,Vengerovo,55.6848,76.7471,41.2,54,65,3.49,RU,1619231695
379,Liverpool,53.4106,-2.9779,46.99,61,100,4.61,GB,1619231695
380,Harbour Breton,47.4833,-55.7983,35.87,95,99,23.35,CA,1619231695
381,Wanaka,-44.7,169.15,57.99,64,99,1.99,NZ,1619231696
382,Atamanovka,51.93,113.63,39.2,22,100,4.47,RU,1619231696
383,Birjand,32.8663,59.2211,53.6,19,0,6.91,IR,1619231696
384,Port Hedland,-20.3167,118.5667,91.4,15,0,19.57,AU,1619231697
385,Spring Hill,28.4769,-82.5255,73.4,60,20,10.36,US,1619231411
386,Harlingen,26.1906,-97.6961,80.6,83,90,19.57,US,1619231442
387,Chui,-33.6971,-53.4616,65.28,88,3,9.73,UY,1619231250
388,Šakiai,54.9547,23.0358,32.0,86,0,6.91,LT,1619231697
389,Provideniya,64.3833,-173.3,39.97,59,13,4.5,RU,1619231194
390,Vardø,70.3705,31.1107,34.92,65,100,14.76,NO,1619231620
391,Talara,-4.5772,-81.2719,70.18,81,39,13.73,PE,1619231698
392,Moose Factory,51.2585,-80.6094,32.0,86,75,16.11,CA,1619231698
393,Port Blair,11.6667,92.75,84.54,58,100,3.56,IN,1619231215
394,Hare Bay,48.8499,-54.0148,35.6,80,94,6.91,CA,1619231699
395,Talnakh,69.4865,88.3972,32.41,98,100,9.66,RU,1619231502
396,Alamosa,37.4695,-105.87,44.6,39,20,6.91,US,1619231699
397,Vestmannaeyjar,63.4427,-20.2734,46.27,91,100,16.75,IS,1619231700
398,Chennai,13.0878,80.2785,86.0,74,40,5.75,IN,1619231638
399,Nzérékoré,7.7562,-8.8179,71.58,93,86,2.19,GN,1619231700
400,Hofn,64.2539,-15.2082,44.73,76,100,4.68,IS,1619231686
401,Dubăsari,47.2631,29.1608,35.6,87,0,9.22,MD,1619231700
402,Inuvik,68.3499,-133.7218,37.4,51,95,5.75,CA,1619231701
403,Kyren,51.6828,102.1408,32.97,87,100,1.21,RU,1619231701
404,Sitka,57.0531,-135.33,59.0,23,20,10.36,US,1619231116
405,Yeppoon,-23.1333,150.7333,75.2,53,100,11.5,AU,1619231616
406,Kindu,-2.95,25.95,68.27,97,100,1.48,CD,1619231702
407,Bernau bei Berlin,52.6798,13.5871,43.0,62,96,6.26,DE,1619231710
408,Chapais,49.7834,-74.8492,42.8,42,1,9.22,CA,1619231113
409,Honningsvåg,70.9821,25.9704,32.54,64,97,18.84,NO,1619231711
410,Oodweyne,9.4092,45.064,71.17,61,86,3.15,SO,1619231711
411,Dicabisagan,17.0818,122.4157,84.92,59,6,6.42,PH,1619231711
412,Viedma,-40.8135,-62.9967,59.61,57,6,11.27,AR,1619231276
413,Saint-Pierre,-21.3393,55.4781,75.2,73,0,4.61,RE,1619231712
414,Macao,22.2006,113.5461,82.4,83,40,14.97,MO,1619231712
415,Altay,47.8667,88.1167,30.11,44,1,4.34,CN,1619231712
416,Kungurtug,50.5994,97.5228,31.33,82,100,1.79,RU,1619231713
417,Mount Darwin,-16.7725,31.5838,57.49,91,0,3.0,ZW,1619231713
418,Christchurch,-43.5333,172.6333,66.99,55,56,9.22,NZ,1619231565
419,Kilindoni,-7.9139,39.6668,78.15,83,79,21.81,TZ,1619231714
420,Lima,-12.0432,-77.0282,66.2,82,0,10.36,PE,1619231663
421,Machiques,10.0644,-72.545,79.3,76,59,11.45,VE,1619231714
422,Lata,40.1629,-8.3327,60.01,94,40,3.44,PT,1619231195
423,Saint-Augustin,51.226,-58.6502,32.07,98,100,12.66,CA,1619231715
424,Kirakira,-10.4544,161.9205,85.28,67,62,4.68,SB,1619231436
425,Helong,42.5397,128.9972,65.82,44,100,6.6,CN,1619231715
426,Gelgaudiškis,55.0792,22.9758,31.21,87,96,7.34,LT,1619231715
427,Kushima,31.4583,131.2333,73.4,56,75,14.97,JP,1619231716
428,Pāsighāt,28.0667,95.3333,88.0,33,1,0.76,IN,1619231658
429,Changji,44.0167,87.3167,35.6,55,75,8.95,CN,1619231716
430,Rawson,-43.3002,-65.1023,54.1,70,2,16.87,AR,1619231717
431,Avera,33.194,-82.5271,57.2,58,1,4.61,US,1619231448
432,Huarmey,-10.0681,-78.1522,67.15,89,2,8.37,PE,1619231717
433,Wuning,29.2589,120.2311,71.31,70,94,3.85,CN,1619231717
434,Nueve de Julio,-35.4444,-60.8831,57.99,99,100,3.0,AR,1619231718
435,Muli,2.9167,73.5667,83.57,65,31,9.24,MV,1619231718
436,Bandundu Province,-3.3167,17.3667,69.8,98,100,4.88,CD,1619231718
437,Korla,41.7597,86.1469,48.54,42,15,3.09,CN,1619231719
438,Simbahan,6.3032,120.5836,83.17,65,91,1.63,PH,1619231719
439,Māgadi,12.9667,77.2333,82.0,88,40,2.44,IN,1619231719
440,Fort Nelson,58.8053,-122.7002,37.4,35,40,8.05,CA,1619231720
441,Ingham,42.6,-84.3833,51.8,46,40,5.75,US,1619231720
442,Santa Maria da Vitória,-13.3947,-44.1886,75.27,70,75,0.69,BR,1619231721
443,Camabatela,-8.1881,15.375,62.55,94,100,3.22,AO,1619231721
444,Coquimbo,-29.9533,-71.3436,55.4,76,0,3.44,CL,1619231721
445,Bubaque,11.2833,-15.8333,77.49,71,43,16.26,GW,1619231194
446,Novoagansk,61.9449,76.6625,36.34,85,100,8.37,RU,1619231722
447,Nanortalik,60.1432,-45.2371,34.77,91,10,4.45,GL,1619231722
448,Durban,-29.8579,31.0292,64.99,82,75,10.36,ZA,1619231722
449,Opuwo,-18.0607,13.84,68.68,39,17,8.39,NA,1619231723
450,Atikokan,48.7555,-91.6216,32.76,96,100,7.05,CA,1619231723
451,Ossora,59.2353,163.0719,32.9,96,100,6.17,RU,1619231209
452,Comodoro Rivadavia,-45.8667,-67.5,46.4,81,0,4.61,AR,1619231688
453,Russell,32.3502,-85.1999,64.4,77,75,5.86,US,1619231724
454,Bucerías,20.75,-105.3333,78.8,69,20,8.05,MX,1619231602
455,Seoul,37.5683,126.9778,68.0,26,0,3.44,KR,1619231724
456,Bilma,18.6853,12.9164,84.34,11,1,9.33,NE,1619231724
457,Goderich,43.7501,-81.7165,48.2,57,99,5.75,CA,1619231646
458,Richards Bay,-28.783,32.0377,66.47,66,95,14.14,ZA,1619231725
459,Polovinnoye,54.7914,65.9864,40.89,54,100,11.68,RU,1619231725
460,Sept-Îles,50.2001,-66.3821,34.0,100,100,3.44,CA,1619231725
461,Marabu,4.4148,114.0089,87.8,70,40,2.3,MY,1619231650
462,Bjørnevatn,69.6672,29.9847,32.0,69,90,16.11,NO,1619231726
463,Gorahun,7.4661,-11.2375,73.4,94,97,1.32,SL,1619231726
464,Mehamn,71.0357,27.8492,31.95,72,99,14.36,NO,1619231726
465,Doha,25.2867,51.5333,82.4,34,0,8.05,QA,1619231727
466,Rožmitál pod Třemšínem,49.602,13.8643,32.0,100,11,1.43,CZ,1619231727
467,Yulara,-25.2406,130.9889,71.6,35,16,13.8,AU,1619231728
468,Kuala Terengganu,5.3302,103.1408,82.4,78,20,6.91,MY,1619231728
469,Hammerfest,70.6634,23.6821,30.2,69,90,11.5,NO,1619231654
470,Salta,-24.7859,-65.4117,64.4,88,40,4.61,AR,1619231605
471,Mount Isa,-20.7333,139.5,84.2,28,17,13.8,AU,1619231429
472,Øksfjord,70.2396,22.3479,30.2,69,75,6.91,NO,1619231729
473,Shubarshi,48.5872,57.1869,50.76,66,69,12.1,KZ,1619231729
474,San Jose,37.3394,-121.895,61.0,58,75,13.8,US,1619231659
475,Rathdrum,47.8137,-116.892,57.2,35,1,6.91,US,1619231729
476,Puerto Escondido,15.85,-97.0667,80.98,73,100,4.34,MX,1619231730
477,Changchun,43.88,125.3228,42.8,70,75,8.95,CN,1619231730
478,Namikupa,-10.8333,39.6,68.11,97,64,4.38,TZ,1619231730
479,Muisne,0.6,-80.0333,76.98,85,98,3.31,EC,1619231731
480,The Valley,18.217,-63.0578,79.0,78,20,6.91,AI,1619231450
481,Esim,4.8699,-2.2405,81.64,80,100,7.23,GH,1619231731
482,George,-33.963,22.4617,53.6,100,0,5.75,ZA,1619231664
483,Valdosta,30.8327,-83.2785,66.99,59,1,4.61,US,1619231184
484,Havelock,34.8791,-76.9013,62.01,62,1,5.75,US,1619231732
485,Catalina Foothills,32.2979,-110.9187,75.2,15,1,8.05,US,1619231732
486,Tūkrah,32.5341,20.5791,74.19,24,76,27.34,LY,1619231732
487,Luba,3.4568,8.5547,80.22,83,100,9.8,GQ,1619231733
488,Cap Malheureux,-19.9842,57.6142,75.99,85,94,3.0,MU,1619231733
489,Mossamedes,-15.1961,12.1522,76.91,82,29,5.59,AO,1619231733
490,Tecpatán,17.1333,-93.3,86.0,51,75,6.91,MX,1619231734
491,Hervey Bay,-25.2986,152.8535,77.0,56,14,4.0,AU,1619231224
492,Klaksvík,62.2266,-6.589,42.8,100,90,5.75,FO,1619231466
493,Gamba,-2.65,10.0,76.05,92,100,4.36,GA,1619231734
494,Beyneu,45.3167,55.2,51.8,75,0,11.01,KZ,1619231735
495,Balabac,7.9868,117.0645,85.71,68,98,12.12,PH,1619231735
496,Micheweni,-4.9667,39.8333,79.29,79,82,11.12,TZ,1619231649
497,Woodstock,43.1334,-80.7497,51.8,46,37,5.75,CA,1619231567
498,Uvat,59.1433,68.8953,45.86,55,100,8.37,RU,1619231736
499,Barra de Tecoanapa,16.5167,-98.75,80.01,74,100,3.69,MX,1619231483
500,Palāsa,18.7667,84.4167,89.2,53,53,5.03,IN,1619231736
501,Tulancingo,20.0833,-98.3667,66.13,45,100,5.23,MX,1619231629
502,Cidreira,-30.1811,-50.2056,69.64,82,1,16.2,BR,1619231736
503,Lālmohan,22.3384,90.7419,90.3,44,0,4.05,BD,1619231737
504,Shenjiamen,29.9576,122.298,61.27,92,100,6.51,CN,1619231737
505,Bogashevo,56.3683,85.1447,39.0,32,0,4.47,RU,1619231737
506,Jalu,29.0331,21.5482,72.09,18,61,14.72,LY,1619231738
507,Alice Springs,-23.7,133.8833,73.99,35,0,12.66,AU,1619231247
508,High Prairie,55.4334,-116.4858,39.2,22,39,5.75,CA,1619231738
509,Oistins,13.0667,-59.5333,78.8,65,20,17.27,BB,1619231446
510,Orlik,52.5178,99.825,28.2,81,100,4.68,RU,1619231739
511,Brownsville,25.9018,-97.4975,78.8,83,90,10.36,US,1619231739
512,Vernon,50.2581,-119.2691,57.2,44,82,4.61,CA,1619231739
513,Belgaum,15.8667,74.5,68.0,100,75,2.3,IN,1619231740
514,Sakhnovshchyna,49.1517,35.872,39.81,92,68,8.23,UA,1619231740
515,Sovetskiy,61.3614,63.5842,40.15,87,100,3.53,RU,1619231740
516,Malangali,-8.5667,34.85,60.24,92,26,8.37,TZ,1619231740
517,Praia,14.9215,-23.5087,68.0,77,20,13.8,CV,1619231741
518,Khandyga,62.6667,135.6,25.68,68,19,6.33,RU,1619231221
519,Soyo,-6.1349,12.3689,77.79,87,94,4.61,AO,1619231444
520,Kalāleh,37.3807,55.4916,55.4,94,90,4.61,IR,1619231741
521,Mergen,49.1833,125.2167,50.97,19,0,12.06,CN,1619231742
522,Casa Nova,-9.4167,-41.1333,79.32,70,78,10.45,BR,1619231718
523,Carauari,-4.8828,-66.8958,73.24,97,33,2.21,BR,1619231615
524,Ust-Tsilma,65.441,52.1498,40.44,89,100,4.47,RU,1619231742
525,Mayo,38.8876,-76.5119,53.01,66,38,6.89,US,1619231743
526,Qeshm,26.9581,56.2719,75.2,69,10,4.61,IR,1619231743
527,Djebeniana,35.035,10.9081,59.0,77,40,8.05,TN,1619231743
528,Batagay,67.6333,134.6333,20.5,74,77,2.68,RU,1619231568
529,Benguela,-12.5763,13.4055,79.07,88,98,4.41,AO,1619231744
530,Sobolevo,54.4299,31.8996,32.02,88,58,5.73,RU,1619231744
531,Taksimo,56.3444,114.8794,39.7,47,4,3.4,RU,1619231744
532,Podgornoye,51.735,39.1496,50.0,71,0,8.95,RU,1619231745
533,Sittwe,20.15,92.9,86.77,59,22,4.56,MM,1619231745
